sport,tournament,year,team_player,decimal_odds,implied_prob_raw,implied_prob,outcome
fifa,copa_america,2024,Mexico,17.0,0.05882,0.0499,0
fifa,copa_america,2024,Chile,26.0,0.03846,0.03263,0
fifa,copa_america,2024,Ecuador,34.0,0.02941,0.02495,0
fifa,copa_america,2024,Venezuela,29.0,0.03448,0.02925,0
fifa,copa_america,2024,Peru,51.0,0.01961,0.01663,0
fifa,copa_america,2024,Paraguay,81.0,0.01235,0.01047,0
fifa,copa_america,2024,Canada,67.0,0.01493,0.01266,0
fifa,copa_america,2024,Panama,101.0,0.0099,0.0084,0
fifa,copa_america,2024,Costa Rica,151.0,0.00662,0.00562,0
fifa,copa_america,2024,Jamaica,151.0,0.00662,0.00562,0
fifa,copa_america,2024,Bolivia,251.0,0.00398,0.00338,0
nba,nba_finals,2010,Lakers,2.75,0.36364,0.31024,1
nba,nba_finals,2010,Cavaliers,3.5,0.28571,0.24376,0
nba,nba_finals,2010,Celtics,7.0,0.14286,0.12188,0
nba,nba_finals,2010,Magic,8.0,0.125,0.10665,0
nba,nba_finals,2010,Spurs,10.0,0.1,0.08532,0
nba,nba_finals,2010,Nuggets,15.0,0.06667,0.05688,0
nba,nba_finals,2010,Mavericks,17.0,0.05882,0.05019,0
nba,nba_finals,2010,Suns,34.0,0.02941,0.02509,0
nba,nba_finals,2011,Heat,2.5,0.4,0.33742,0
nba,nba_finals,2011,Lakers,4.0,0.25,0.21089,0
nba,nba_finals,2011,Celtics,6.0,0.16667,0.14059,0
nba,nba_finals,2011,Magic,11.0,0.09091,0.07669,0
nba,nba_finals,2011,Spurs,15.0,0.06667,0.05624,0
nba,nba_finals,2011,Bulls,11.0,0.09091,0.07669,0
nba,nba_finals,2011,Mavericks,34.0,0.02941,0.02481,1
nba,nba_finals,2011,Thunder,11.0,0.09091,0.07669,0
nba,nba_finals,2012,Heat,2.6,0.38462,0.35868,1
nba,nba_finals,2012,Bulls,6.0,0.16667,0.15543,0
nba,nba_finals,2012,Lakers,9.0,0.11111,0.10362,0
nba,nba_finals,2012,Thunder,6.5,0.15385,0.14347,0
nba,nba_finals,2012,Celtics,13.0,0.07692,0.07174,0
nba,nba_finals,2012,Mavericks,17.0,0.05882,0.05486,0
nba,nba_finals,2012,Spurs,11.0,0.09091,0.08478,0
nba,nba_finals,2012,Nuggets,34.0,0.02941,0.02743,0
nba,nba_finals,2013,Heat,2.0,0.5,0.41027,1
nba,nba_finals,2013,Thunder,4.5,0.22222,0.18234,0
nba,nba_finals,2013,Lakers,8.0,0.125,0.10257,0
nba,nba_finals,2013,Spurs,9.0,0.11111,0.09117,0
nba,nba_finals,2013,Bulls,10.0,0.1,0.08205,0
nba,nba_finals,2013,Clippers,12.0,0.08333,0.06838,0
nba,nba_finals,2013,Nuggets,21.0,0.04762,0.03907,0
nba,nba_finals,2013,Knicks,34.0,0.02941,0.02413,0
nba,nba_finals,2014,Heat,2.4,0.41667,0.37996,0
nba,nba_finals,2014,Thunder,5.0,0.2,0.18238,0
nba,nba_finals,2014,Bulls,8.0,0.125,0.11399,0
nba,nba_finals,2014,Clippers,11.0,0.09091,0.0829,0
nba,nba_finals,2014,Pacers,11.0,0.09091,0.0829,0
nba,nba_finals,2014,Spurs,15.0,0.06667,0.06079,1
nba,nba_finals,2014,Nets,17.0,0.05882,0.05364,0
nba,nba_finals,2014,Rockets,21.0,0.04762,0.04342,0
nba,nba_finals,2015,Cavaliers,3.0,0.33333,0.36111,0
nba,nba_finals,2015,Bulls,9.0,0.11111,0.12037,0
nba,nba_finals,2015,Spurs,8.0,0.125,0.13541,0
nba,nba_finals,2015,Thunder,8.5,0.11765,0.12745,0
nba,nba_finals,2015,Warriors,17.0,0.05882,0.06372,1
nba,nba_finals,2015,Clippers,13.0,0.07692,0.08333,0
nba,nba_finals,2015,Rockets,19.0,0.05263,0.05702,0
nba,nba_finals,2015,Heat,21.0,0.04762,0.05159,0
nba,nba_finals,2016,Warriors,2.2,0.45455,0.4653,0
nba,nba_finals,2016,Cavaliers,6.0,0.16667,0.17061,1
nba,nba_finals,2016,Spurs,8.5,0.11765,0.12043,0
nba,nba_finals,2016,Thunder,11.0,0.09091,0.09306,0
nba,nba_finals,2016,Clippers,17.0,0.05882,0.06022,0
nba,nba_finals,2016,Bulls,29.0,0.03448,0.0353,0
nba,nba_finals,2016,Rockets,41.0,0.02439,0.02497,0
nba,nba_finals,2016,Hawks,34.0,0.02941,0.03011,0
nba,nba_finals,2017,Warriors,1.85,0.54054,0.46061,1
nba,nba_finals,2017,Cavaliers,3.5,0.28571,0.24347,0
nba,nba_finals,2017,Spurs,11.0,0.09091,0.07747,0
nba,nba_finals,2017,Thunder,21.0,0.04762,0.04058,0
nba,nba_finals,2017,Celtics,17.0,0.05882,0.05013,0
nba,nba_finals,2017,Clippers,17.0,0.05882,0.05013,0
nba,nba_finals,2017,Rockets,21.0,0.04762,0.04058,0
nba,nba_finals,2017,Raptors,23.0,0.04348,0.03705,0
nba,nba_finals,2018,Warriors,1.7,0.58824,0.51286,1
nba,nba_finals,2018,Rockets,6.5,0.15385,0.13413,0
nba,nba_finals,2018,Cavaliers,8.5,0.11765,0.10257,0
nba,nba_finals,2018,Celtics,11.0,0.09091,0.07926,0
nba,nba_finals,2018,Thunder,15.0,0.06667,0.05812,0
nba,nba_finals,2018,Spurs,19.0,0.05263,0.04589,0
nba,nba_finals,2018,Wolves,34.0,0.02941,0.02564,0
nba,nba_finals,2018,Raptors,21.0,0.04762,0.04152,0
nba,nba_finals,2019,Warriors,1.7,0.58824,0.56273,0
nba,nba_finals,2019,Celtics,8.0,0.125,0.11958,0
nba,nba_finals,2019,Lakers,11.0,0.09091,0.08697,0
nba,nba_finals,2019,Bucks,15.0,0.06667,0.06378,0
nba,nba_finals,2019,Rockets,15.0,0.06667,0.06378,0
nba,nba_finals,2019,Sixers,17.0,0.05882,0.05627,0
nba,nba_finals,2019,Raptors,34.0,0.02941,0.02814,1
nba,nba_finals,2019,Nuggets,51.0,0.01961,0.01876,0
nba,nba_finals,2020,Lakers,7.0,0.14286,0.15406,1
nba,nba_finals,2020,Bucks,4.5,0.22222,0.23965,0
nba,nba_finals,2020,Clippers,4.0,0.25,0.26961,0
nba,nba_finals,2020,Sixers,11.0,0.09091,0.09804,0
nba,nba_finals,2020,Rockets,21.0,0.04762,0.05135,0
nba,nba_finals,2020,Celtics,17.0,0.05882,0.06344,0
nba,nba_finals,2020,Nuggets,21.0,0.04762,0.05135,0
nba,nba_finals,2020,Heat,51.0,0.01961,0.02115,0
nba,nba_finals,2020,Raptors,21.0,0.04762,0.05135,0
nba,nba_finals,2021,Lakers,4.0,0.25,0.33153,0
nba,nba_finals,2021,Nets,5.5,0.18182,0.24111,0
nba,nba_finals,2021,Bucks,15.0,0.06667,0.08841,1
nba,nba_finals,2021,Clippers,12.0,0.08333,0.11051,0
nba,nba_finals,2021,Heat,21.0,0.04762,0.06315,0
nba,nba_finals,2021,Sixers,19.0,0.05263,0.0698,0
nba,nba_finals,2021,Nuggets,21.0,0.04762,0.06315,0
nba,nba_finals,2021,Suns,41.0,0.02439,0.03234,0
nba,nba_finals,2022,Nets,6.5,0.15385,0.19641,0
nba,nba_finals,2022,Lakers,12.0,0.08333,0.10639,0
nba,nba_finals,2022,Bucks,6.0,0.16667,0.21278,0
nba,nba_finals,2022,Warriors,15.0,0.06667,0.08511,1
nba,nba_finals,2022,Suns,11.0,0.09091,0.11606,0
nba,nba_finals,2022,Heat,12.0,0.08333,0.10639,0
nba,nba_finals,2022,Sixers,11.0,0.09091,0.11606,0
nba,nba_finals,2022,Nuggets,21.0,0.04762,0.06079,0
nba,nba_finals,2023,Bucks,6.0,0.16667,0.21195,0
nba,nba_finals,2023,Celtics,6.5,0.15385,0.19564,0
nba,nba_finals,2023,Warriors,8.0,0.125,0.15896,0
nba,nba_finals,2023,Suns,11.0,0.09091,0.11561,0
nba,nba_finals,2023,Nuggets,13.0,0.07692,0.09782,1
nba,nba_finals,2023,Sixers,11.0,0.09091,0.11561,0
nba,nba_finals,2023,Heat,29.0,0.03448,0.04385,0
nba,nba_finals,2023,Lakers,21.0,0.04762,0.06056,0
nba,nba_finals,2024,Celtics,4.0,0.25,0.25827,1
nba,nba_finals,2024,Nuggets,5.0,0.2,0.20661,0
nba,nba_finals,2024,Bucks,7.0,0.14286,0.14758,0
nba,nba_finals,2024,Suns,9.0,0.11111,0.11479,0
nba,nba_finals,2024,Mavericks,17.0,0.05882,0.06077,0
nba,nba_finals,2024,Thunder,11.0,0.09091,0.09392,0
nba,nba_finals,2024,Wolves,15.0,0.06667,0.06887,0
nba,nba_finals,2024,Knicks,21.0,0.04762,0.04919,0
nhl,stanley_cup,2010,Penguins,8.0,0.125,0.17768,0
nhl,stanley_cup,2010,Red Wings,8.0,0.125,0.17768,0
nhl,stanley_cup,2010,Capitals,9.0,0.11111,0.15794,0
nhl,stanley_cup,2010,Blackhawks,12.0,0.08333,0.11845,1
nhl,stanley_cup,2010,Sharks,10.0,0.1,0.14214,0
nhl,stanley_cup,2010,Bruins,17.0,0.05882,0.08361,0
nhl,stanley_cup,2010,Devils,19.0,0.05263,0.07481,0
nhl,stanley_cup,2010,Flyers,21.0,0.04762,0.06769,0
nhl,stanley_cup,2011,Capitals,7.0,0.14286,0.1891,0
nhl,stanley_cup,2011,Penguins,9.0,0.11111,0.14708,0
nhl,stanley_cup,2011,Sharks,9.0,0.11111,0.14708,0
nhl,stanley_cup,2011,Blackhawks,11.0,0.09091,0.12034,0
nhl,stanley_cup,2011,Red Wings,11.0,0.09091,0.12034,0
nhl,stanley_cup,2011,Canucks,11.0,0.09091,0.12034,0
nhl,stanley_cup,2011,Bruins,17.0,0.05882,0.07787,1
nhl,stanley_cup,2011,Flyers,17.0,0.05882,0.07787,0
nhl,stanley_cup,2012,Penguins,8.0,0.125,0.18004,0
nhl,stanley_cup,2012,Rangers,9.0,0.11111,0.16003,0
nhl,stanley_cup,2012,Bruins,9.0,0.11111,0.16003,0
nhl,stanley_cup,2012,Canucks,11.0,0.09091,0.13094,0
nhl,stanley_cup,2012,Red Wings,11.0,0.09091,0.13094,0
nhl,stanley_cup,2012,Kings,17.0,0.05882,0.08472,1
nhl,stanley_cup,2012,Capitals,17.0,0.05882,0.08472,0
nhl,stanley_cup,2012,Predators,21.0,0.04762,0.06859,0
nhl,stanley_cup,2013,Penguins,7.5,0.13333,0.19897,0
nhl,stanley_cup,2013,Blackhawks,9.0,0.11111,0.16581,1
nhl,stanley_cup,2013,Rangers,11.0,0.09091,0.13566,0
nhl,stanley_cup,2013,Kings,13.0,0.07692,0.11479,0
nhl,stanley_cup,2013,Bruins,11.0,0.09091,0.13566,0
nhl,stanley_cup,2013,Canucks,15.0,0.06667,0.09949,0
nhl,stanley_cup,2013,Capitals,19.0,0.05263,0.07854,0
nhl,stanley_cup,2013,Red Wings,21.0,0.04762,0.07106,0
nhl,stanley_cup,2014,Blackhawks,7.0,0.14286,0.18843,0
nhl,stanley_cup,2014,Penguins,8.0,0.125,0.16488,0
nhl,stanley_cup,2014,Bruins,9.0,0.11111,0.14656,0
nhl,stanley_cup,2014,Rangers,11.0,0.09091,0.11991,0
nhl,stanley_cup,2014,Kings,11.0,0.09091,0.11991,1
nhl,stanley_cup,2014,Sharks,11.0,0.09091,0.11991,0
nhl,stanley_cup,2014,Capitals,17.0,0.05882,0.07759,0
nhl,stanley_cup,2014,Red Wings,21.0,0.04762,0.06281,0
nhl,stanley_cup,2015,Blackhawks,8.0,0.125,0.17537,1
nhl,stanley_cup,2015,Bruins,9.0,0.11111,0.15589,0
nhl,stanley_cup,2015,Penguins,10.0,0.1,0.1403,0
nhl,stanley_cup,2015,Kings,11.0,0.09091,0.12754,0
nhl,stanley_cup,2015,Lightning,13.0,0.07692,0.10792,0
nhl,stanley_cup,2015,Rangers,12.0,0.08333,0.11692,0
nhl,stanley_cup,2015,Ducks,15.0,0.06667,0.09353,0
nhl,stanley_cup,2015,Capitals,17.0,0.05882,0.08253,0
nhl,stanley_cup,2016,Blackhawks,7.0,0.14286,0.21234,0
nhl,stanley_cup,2016,Capitals,9.0,0.11111,0.16515,0
nhl,stanley_cup,2016,Penguins,11.0,0.09091,0.13512,1
nhl,stanley_cup,2016,Lightning,13.0,0.07692,0.11434,0
nhl,stanley_cup,2016,Stars,15.0,0.06667,0.09909,0
nhl,stanley_cup,2016,Rangers,15.0,0.06667,0.09909,0
nhl,stanley_cup,2016,Kings,17.0,0.05882,0.08743,0
nhl,stanley_cup,2016,Bruins,17.0,0.05882,0.08743,0
nhl,stanley_cup,2017,Penguins,8.0,0.125,0.20955,1
nhl,stanley_cup,2017,Capitals,9.0,0.11111,0.18627,0
nhl,stanley_cup,2017,Blackhawks,10.0,0.1,0.16764,0
nhl,stanley_cup,2017,Lightning,13.0,0.07692,0.12896,0
nhl,stanley_cup,2017,Predators,21.0,0.04762,0.07983,0
nhl,stanley_cup,2017,Rangers,17.0,0.05882,0.09861,0
nhl,stanley_cup,2017,Wild,21.0,0.04762,0.07983,0
nhl,stanley_cup,2017,Senators,34.0,0.02941,0.04931,0
nhl,stanley_cup,2018,Penguins,8.0,0.125,0.18939,0
nhl,stanley_cup,2018,Predators,8.0,0.125,0.18939,0
nhl,stanley_cup,2018,Capitals,13.0,0.07692,0.11655,1
nhl,stanley_cup,2018,Lightning,11.0,0.09091,0.13774,0
nhl,stanley_cup,2018,Blackhawks,13.0,0.07692,0.11655,0
nhl,stanley_cup,2018,Bruins,17.0,0.05882,0.08912,0
nhl,stanley_cup,2018,Maple Leafs,17.0,0.05882,0.08912,0
nhl,stanley_cup,2018,Jets,21.0,0.04762,0.07215,0
nhl,stanley_cup,2019,Predators,10.0,0.1,0.15936,0
nhl,stanley_cup,2019,Lightning,8.0,0.125,0.1992,0
nhl,stanley_cup,2019,Bruins,11.0,0.09091,0.14487,0
nhl,stanley_cup,2019,Maple Leafs,13.0,0.07692,0.12259,0
nhl,stanley_cup,2019,Capitals,13.0,0.07692,0.12259,0
nhl,stanley_cup,2019,Jets,15.0,0.06667,0.10624,0
nhl,stanley_cup,2019,Blues,31.0,0.03226,0.05141,1
nhl,stanley_cup,2019,Sharks,17.0,0.05882,0.09374,0
nhl,stanley_cup,2020,Lightning,10.0,0.1,0.15682,1
nhl,stanley_cup,2020,Bruins,9.0,0.11111,0.17425,0
nhl,stanley_cup,2020,Avalanche,11.0,0.09091,0.14256,0
nhl,stanley_cup,2020,Maple Leafs,13.0,0.07692,0.12063,0
nhl,stanley_cup,2020,Capitals,15.0,0.06667,0.10455,0
nhl,stanley_cup,2020,Stars,29.0,0.03448,0.05408,0
nhl,stanley_cup,2020,Blues,15.0,0.06667,0.10455,0
